,Title,Vote Average,Genre
,Avatar,7.2,Adventure|Animation|Children|Comedy|Fantasy
,Pirates of the Caribbean: At World's End,6.9,Adventure|Children|Fantasy
,Spectre,6.3,Comedy|Romance
,The Dark Knight Rises,7.6,Comedy|Drama|Romance
,John Carter,6.1,Comedy
,Spider-Man 3,5.9,Action|Crime|Thriller
,Tangled,7.4,Comedy|Romance
,Avengers: Age of Ultron,7.3,Adventure|Children
,Harry Potter and the Half-Blood Prince,7.4,Action
,Batman v Superman: Dawn of Justice,5.7,Action|Adventure|Thriller
,Superman Returns,5.4,Comedy|Drama|Romance
,Quantum of Solace,6.1,Comedy|Horror
,Pirates of the Caribbean: Dead Man's Chest,7,Adventure|Animation|Children
,The Lone Ranger,5.9,Drama
,Man of Steel,6.5,Action|Adventure|Romance
,The Chronicles of Narnia: Prince Caspian,6.3,Crime|Drama
,The Avengers,7.4,Drama|Romance
,Pirates of the Caribbean: On Stranger Tides,6.4,Comedy
,Men in Black 3,6.2,Comedy
,The Hobbit: The Battle of the Five Armies,7.1,Action|Comedy|Crime|Drama|Thriller
,The Amazing Spider-Man,6.5,Comedy|Crime|Thriller
,Robin Hood,6.2,Crime|Drama|Horror|Mystery|Thriller
,The Hobbit: The Desolation of Smaug,7.6,Action|Crime|Thriller
,The Golden Compass,5.8,Drama|Sci-Fi
,King Kong,6.6,Drama|Romance
,Titanic,7.5,Drama
,Captain America: Civil War,7.1,Children|Drama
,Battleship,5.5,Drama|Romance
,Jurassic World,6.5,Adventure|Drama|Fantasy|Mystery|Sci-Fi
,Skyfall,6.9,Crime|Drama
,Spider-Man 2,6.7,Drama
,Iron Man 3,6.8,Mystery|Sci-Fi|Thriller
,Alice in Wonderland,6.4,Adventure|Romance|IMAX
,X-Men: The Last Stand,6.3,Children|Drama
,Monsters University,7,Drama|Romance
,Transformers: Revenge of the Fallen,6,Crime|Drama
,Transformers: Age of Extinction,5.8,Documentary|IMAX
,Oz: The Great and Powerful,5.7,Children|Comedy
,The Amazing Spider-Man 2,6.5,Comedy|Romance
,TRON: Legacy,6.3,Drama
,Cars 2,5.8,Drama|War
,Green Lantern,5.1,Action|Crime|Drama
,Toy Story 3,7.6,Drama
,Terminator Salvation,5.9,Action|Adventure|Fantasy
,Furious 7,7.3,Comedy|Drama|Thriller
,World War Z,6.7,Drama|Romance
,X-Men: Days of Future Past,7.5,Mystery|Thriller
,Star Trek Into Darkness,7.4,Animation|Children|Drama|Musical|Romance
,Jack the Giant Slayer,5.5,Drama|Romance
,The Great Gatsby,7.3,Crime|Mystery|Thriller
,Prince of Persia: The Sands of Time,6.2,Action|Drama|Thriller
,Pacific Rim,6.7,Comedy|Drama|Romance
,Transformers: Dark of the Moon,6.1,Adventure|Drama
,Indiana Jones and the Kingdom of the Crystal Skull,5.7,Children|Comedy
,The Good Dinosaur,6.6,Drama
,Brave,6.7,Adventure|Children|Fantasy
,Star Trek Beyond,6.6,Drama
,WALL·E,7.8,Comedy|Drama|Romance
,Rush Hour 3,6.1,Drama|Mystery
,2012,5.6,Adventure|Children|Fantasy
,A Christmas Carol,6.6,Drama|Thriller
,Jupiter Ascending,5.2,Drama
,The Legend of Tarzan,5.5,Comedy|Crime
,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.7,Comedy|Romance
,X-Men: Apocalypse,6.4,Comedy
,The Dark Knight,8.2,Action|Sci-Fi|Thriller
,Up,7.7,Drama
,Monsters vs Aliens,6,Comedy|Romance
,Iron Man,7.4,Comedy
,Hugo,7,Action|Comedy|Horror|Thriller
,Wild Wild West,5.1,Action
,The Mummy: Tomb of the Dragon Emperor,5.2,Comedy|Drama
,Suicide Squad,5.9,Drama|War
,Evan Almighty,5.3,Drama|Romance
,Edge of Tomorrow,7.6,Comedy|Drama
,Waterworld,5.9,Action|Sci-Fi|Thriller
,G.I. Joe: The Rise of Cobra,5.6,Documentary
,Inside Out,8,Action|Crime|Drama|Thriller
,The Jungle Book,6.7,Drama|Thriller
,Iron Man 2,6.6,Children|Drama
,Snow White and the Huntsman,5.8,Crime|Drama|Romance
,Maleficent,7,Comedy|Drama
,Dawn of the Planet of the Apes,7.3,Drama|Romance
,The Lovers,4.8,Comedy|Drama
,47 Ronin,5.9,Drama|Romance
,Captain America: The Winter Soldier,7.6,Action|Adventure|Drama
,Shrek Forever After,6,Children|Comedy
,Tomorrowland,6.2,Comedy
,Big Hero 6,7.8,Action|Thriller
,Wreck-It Ralph,7.1,Drama
,The Polar Express,6.4,Drama|Horror|Thriller
,Independence Day: Resurgence,4.9,Comedy|Horror|Romance
,How to Train Your Dragon,7.5,Comedy|Drama|Romance
,Terminator 3: Rise of the Machines,5.9,Action|Adventure|Thriller
,Guardians of the Galaxy,7.9,Comedy|Drama
,Interstellar,8.1,Crime|Drama
,Inception,8.1,Action|Thriller
,Shin Godzilla,6.5,Documentary
,The Hobbit: An Unexpected Journey,7,Drama|Thriller
,The Fast and the Furious,6.6,Adventure|Comedy|Crime|Romance
,The Curious Case of Benjamin Button,7.3,Comedy
,X-Men: First Class,7.1,Mystery|Sci-Fi|Thriller
,The Hunger Games: Mockingjay - Part 2,6.6,Comedy
,The Sorcerer's Apprentice,5.8,Drama|Romance
,Poseidon,5.5,Comedy|Drama
,Alice Through the Looking Glass,6.5,Adventure|Children|Comedy|Musical
,Shrek the Third,6,Documentary
,Warcraft,6.3,Comedy|Drama|Thriller
,Terminator Genisys,5.8,Action|Drama|War
,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.2,Crime|Drama|Thriller
,Pearl Harbor,6.6,Action|Adventure|Comedy|Crime
,Transformers,6.6,Drama|Mystery
,Alexander,5.6,Drama
,Harry Potter and the Order of the Phoenix,7.4,Comedy
,Harry Potter and the Goblet of Fire,7.5,Documentary
,Hancock,6.2,Crime|Drama
,I Am Legend,6.9,Comedy|Romance
,Charlie and the Chocolate Factory,6.7,Comedy
,Ratatouille,7.5,Adventure|Comedy|Drama
,Batman Begins,7.5,Drama
,Madagascar: Escape 2 Africa,6.2,Comedy|Romance
,Night at the Museum: Battle of the Smithsonian,5.9,Drama|Mystery|Romance
,X-Men Origins: Wolverine,6.2,Drama
,The Matrix Revolutions,6.4,Comedy
,Frozen,7.3,Adventure|Children|Fantasy
,The Matrix Reloaded,6.7,Drama
,Thor: The Dark World,6.8,Documentary
,Mad Max: Fury Road,7.2,Comedy|Romance
,Angels & Demons,6.5,Drama
,Thor,6.6,Drama|Romance
,Bolt,6.3,Thriller
,G-Force,5.1,Comedy|Drama
,Wrath of the Titans,5.5,Documentary
,Dark Shadows,5.7,Comedy
,Mission: Impossible - Rogue Nation,7.1,Documentary
,The Wolfman,5.5,Documentary
,Bee Movie,5.7,Drama
,Kung Fu Panda 2,6.7,Action|Drama
,The Last Airbender,4.7,Drama|Romance
,Mission: Impossible III,6.5,Comedy
,White House Down,6.4,Drama
,Mars Needs Moms,5.5,Drama
,Flushed Away,6,Comedy
,Pan,5.9,Action|Comedy|Crime|Drama|Thriller
,Mr. Peabody & Sherman,6.7,Adventure|Children
,Troy,6.9,Drama
,Madagascar 3: Europe's Most Wanted,6.4,Drama
,Die Another Day,5.8,Crime|Drama|Thriller
,Ghostbusters,5.3,Adventure|Drama|IMAX
,Armageddon,6.4,Action|Drama|Romance|War
,Men in Black II,6,Drama|Horror
,Beowulf,5.5,Action|Adventure|Comedy|Crime
,Kung Fu Panda 3,6.7,Drama
,Mission: Impossible - Ghost Protocol,6.8,Adventure|Drama|War
,Rise of the Guardians,7.1,Comedy|Drama
,Fun with Dick and Jane,5.9,Comedy|War
,The Last Samurai,7.3,Adventure|Children
,Exodus: Gods and Kings,5.6,Crime|Drama|Mystery
,Star Trek,7.4,Action|Adventure|Mystery|Sci-Fi
,Spider-Man,6.8,Drama|Thriller|War
,How to Train Your Dragon 2,7.6,Documentary
,Gods of Egypt,5.3,Action|Romance|Western
,Stealth,4.9,Crime|Film-Noir|Mystery|Thriller
,Watchmen,7,Action|Crime|Thriller
,Lethal Weapon 4,6.3,Comedy|Crime|Drama
,Hulk,5.3,Drama
,G.I. Joe: Retaliation,5.4,Action|Drama|Romance
,Sahara,5.7,Adventure|Children|Drama
,Final Fantasy: The Spirits Within,5.9,Action|Adventure|Crime|Thriller
,Captain America: The First Avenger,6.6,Comedy|Drama
,The World Is Not Enough,6,Action|Sci-Fi|Thriller
,Master and Commander: The Far Side of the World,6.9,Action|Crime|Sci-Fi
,The Twilight Saga: Breaking Dawn - Part 2,6.1,Comedy
,Happy Feet Two,5.8,Drama
,The Incredible Hulk,6.1,Comedy
,The BFG,6,Horror
,The Revenant,7.3,Comedy|Drama
,Turbo,6.1,Drama|Romance
,Rango,6.6,Comedy|Romance
,Penguins of Madagascar,6.5,Action|Children
,The Bourne Ultimatum,7.3,Drama|Romance
,Kung Fu Panda,6.9,Comedy|Horror|Thriller
,Ant-Man,7,Drama
,The Hunger Games: Catching Fire,7.4,Action|Crime|Thriller
,Home,6.8,Comedy|Romance
,War of the Worlds,6.2,Comedy
,Bad Boys II,6.3,Fantasy|Horror|Mystery
,Puss in Boots,6.4,Comedy|Fantasy
,Salt,6.2,Thriller
,Noah,5.6,Drama|Romance
,The Adventures of Tintin,6.7,Documentary
,Harry Potter and the Prisoner of Azkaban,7.7,Drama
,Australia,6.3,Comedy|Drama
,After Earth,5,Comedy|Drama|Romance
,Dinosaur,6.2,Horror|Sci-Fi
,Night at the Museum: Secret of the Tomb,6.1,Drama
,Megamind,6.7,Action|Crime|Drama|Mystery|Sci-Fi|Thriller
,Harry Potter and the Philosopher's Stone,7.5,Drama|Musical|Romance
,R.I.P.D.,5.4,Thriller
,Pirates of the Caribbean: The Curse of the Black Pearl,7.5,Drama|Fantasy
,The Hunger Games: Mockingjay - Part 1,6.6,Drama|Romance
,The Da Vinci Code,6.5,Comedy
,Rio 2,6.3,Action
,X2,6.8,Comedy|Drama
,Fast Five,7.1,Documentary
,Sherlock Holmes: A Game of Shadows,7,Drama|Romance
,Clash of the Titans,5.6,Action|Adventure|Sci-Fi
,Total Recall,7.1,Drama
,The 13th Warrior,6.4,Western
,The Bourne Legacy,6,Drama
,Batman & Robin,4.2,Adventure|Comedy|Crime|Mystery
,How the Grinch Stole Christmas,6.2,Drama
,The Day After Tomorrow,6.2,Drama|War
,Mission: Impossible II,5.9,Drama|Romance
,The Perfect Storm,6.2,Comedy
,Fantastic 4: Rise of the Silver Surfer,5.4,Drama|Thriller
,Life of Pi,7.2,Comedy|Drama
,Ghost Rider,5.2,Drama
,Jason Bourne,5.9,Horror
,Charlie's Angels: Full Throttle,5.2,Drama|Romance
,Prometheus,6.3,Comedy
,Stuart Little 2,5.4,Comedy|Drama|Romance
,Elysium,6.4,Drama|Thriller
,The Chronicles of Riddick,6.3,Thriller
,RoboCop,5.7,Action|Thriller
,Speed Racer,5.7,Comedy
,How Do You Know,4.9,Drama|Thriller
,Knight and Day,5.9,Drama|Thriller
,Oblivion,6.4,Adventure|Comedy
,Star Wars: Episode III - Revenge of the Sith,7.1,Comedy|Drama|Romance
,Star Wars: Episode II - Attack of the Clones,6.4,Drama
,"Monsters, Inc.",7.5,Comedy
,The Wolverine,6.3,Comedy|Drama
,Star Wars: Episode I - The Phantom Menace,6.3,Action|Comedy|Romance
,The Croods,6.8,Comedy|Romance
,Asterix at the Olympic Games,5,Adventure|Children
,Windtalkers,5.8,Animation|Children|Comedy|Romance
,The Huntsman: Winter's War,6,Thriller
,Teenage Mutant Ninja Turtles,5.8,Children|Drama
,Gravity,7.3,Drama|Musical
,Dante's Peak,5.7,Children|Comedy|Fantasy
,Teenage Mutant Ninja Turtles: Out of the Shadows,5.8,Animation|Children
,Fantastic Four,4.4,Crime|Drama
,Night at the Museum,6.3,Documentary
,San Andreas,6,Crime|Drama
,Tomorrow Never Dies,6,Comedy
,The Patriot,6.8,Drama|Romance
,Ocean's Twelve,6.4,Children|Comedy
,Mr. & Mrs. Smith,6.5,Action
,Insurgent,6.2,Comedy|Romance
,The Aviator,7,Drama|Horror
,Gulliver's Travels,4.9,Drama
,The Green Hornet,5.5,Comedy
,300: Rise of an Empire,6.1,Comedy|Sci-Fi
,The Smurfs,5.5,Mystery|Thriller
,Home on the Range,5.7,Adventure|Children|Comedy|Fantasy|Romance
,Allegiant,5.9,Crime|Drama|Thriller
,Real Steel,6.6,Action|Adventure|Sci-Fi
,The Smurfs 2,5.5,Drama
,Speed 2: Cruise Control,4.1,Children|Drama
,Ender's Game,6.6,Drama
,Live Free or Die Hard,6.4,Drama
,The Lord of the Rings: The Fellowship of the Ring,8,Drama|Fantasy|Romance
,Around the World in 80 Days,5.7,Drama|Romance|War|Western
,Ali,6.7,Comedy
,The Cat in the Hat,4.9,Crime|Drama
,"I, Robot",6.7,Drama
,Kingdom of Heaven,6.6,Drama|Romance
,Stuart Little,5.8,Drama
,The Princess and the Frog,6.7,Comedy|Drama
,The Martian,7.6,Drama|Horror|Sci-Fi
,The Island,6.5,Comedy
,Town & Country,3.7,Comedy
,Gone in Sixty Seconds,6.1,Comedy|Romance
,Gladiator,7.9,Drama
,Minority Report,7.1,Comedy
,Harry Potter and the Chamber of Secrets,7.4,Drama
,Casino Royale,7.3,Drama|Thriller
,Planet of the Apes,5.6,Comedy|Drama|Romance
,Terminator 2: Judgment Day,7.7,Drama
,Public Enemies,6.5,Crime|Drama
,American Gangster,7.4,Action|Crime
,True Lies,6.8,Drama|Horror
,The Taking of Pelham 1 2 3,6.2,Action|Sci-Fi|Thriller
,Little Fockers,5.4,Comedy|Romance
,The Other Guys,6.1,Action|Crime|Thriller
,Eraser,5.6,Comedy|Romance
,Django Unchained,7.8,Crime|Drama
,The Hunchback of Notre Dame,6.8,Drama|Thriller
,The Emperor's New Groove,7.2,Action|Drama|Sci-Fi|Thriller
,The Expendables 2,6.1,Action|Crime|Drama|Thriller
,National Treasure,6.4,Comedy|Romance
,Eragon,4.9,Comedy|Romance
,Where the Wild Things Are,6.4,Comedy|Crime|Drama|Thriller
,Epic,6.4,Drama
,The Tourist,6,Drama
,End of Days,5.5,Drama
,Blood Diamond,7.3,Drama
,The Wolf of Wall Street,7.9,Drama|Romance
,Batman Forever,5.2,Drama|Romance
,Starship Troopers,6.7,Action|Thriller|Western
,Cloud Atlas,6.6,Comedy|Drama
,Legend of the Guardians: The Owls of Ga'Hoole,6.5,Comedy
,Catwoman,4.2,Drama
,Hercules,5.6,Drama
,Treasure Planet,7.2,Comedy|Drama
,Land of the Lost,5.3,Drama
,The Expendables 3,6.1,Comedy
,Point Break,5.5,Horror|Thriller
,Son of the Mask,3.6,Comedy
,In the Heart of the Sea,6.5,Animation|Children
,The Adventures of Pluto Nash,4.4,Children|Drama|Fantasy|Mystery
,Green Zone,6.4,Action|Drama|Thriller
,The Peanuts Movie,6.5,Action|Adventure|Sci-Fi
,The Spanish Prisoner,7.1,Comedy|Drama|Fantasy
,The Mummy Returns,6,Crime|Drama
,Gangs of New York,7.1,Comedy|Drama|Thriller
,The Flowers of War,7.1,Film-Noir|Thriller
,Surf's Up,5.9,Drama
,The Stepford Wives,5.4,Comedy|Drama
,Black Hawk Down,7.2,Comedy|Drama
,The Campaign,5.6,Comedy
,The Fifth Element,7.3,Drama
,Sex and the City 2,5.4,Action|Comedy|Sci-Fi
,The Road to El Dorado,7,Horror|Thriller
,Ice Age: Continental Drift,6.2,Adventure|Drama|Sci-Fi
,Cinderella,6.7,Action|Crime|Horror
,The Lovely Bones,6.6,Drama
,Finding Nemo,7.6,Horror|Sci-Fi
,The Lord of the Rings: The Return of the King,8.1,Comedy
,The Lord of the Rings: The Two Towers,8,Drama
,Seventh Son,5.2,Mystery|Thriller
,Lara Croft: Tomb Raider,5.7,Drama|War
,Transcendence,5.9,Drama
,Jurassic Park III,5.7,Action|Sci-Fi|Thriller
,Rise of the Planet of the Apes,7,Comedy|Romance
,The Spiderwick Chronicles,6.3,Adventure|Drama|War
,A Good Day to Die Hard,5.2,Drama
,The Alamo,5.8,Comedy
,The Incredibles,7.4,Children
,Cutthroat Island,5.7,Comedy
,Percy Jackson & the Olympians: The Lightning Thief,6,Comedy|Drama
,Men in Black,6.9,Drama|Musical
,Toy Story 2,7.3,Drama|Film-Noir|Romance
,Unstoppable,6.3,Comedy
,Rush Hour 2,6.4,Action|Crime|Drama|Thriller
,What Lies Beneath,6.3,Drama|Mystery|Thriller
,Cloudy with a Chance of Meatballs,6.5,Comedy|Drama|Romance
,Ice Age: Dawn of the Dinosaurs,6.5,Comedy|Drama
,The Secret Life of Walter Mitty,7,Action|Crime|Fantasy|Thriller
,Charlie's Angels,5.6,Drama
,The Departed,7.9,Children|Comedy|Fantasy
,Mulan,7.6,Comedy|Drama|Romance|War
,Tropic Thunder,6.5,Comedy|Romance
,The Girl with the Dragon Tattoo,7.2,Drama
,Die Hard: With a Vengeance,6.9,Comedy|Drama|Romance
,Sherlock Holmes,7,Action|Comedy
,Ben-Hur,5.3,Comedy|Drama|Romance
,Atlantis: The Lost Empire,6.7,Adventure|Children|Romance
,Alvin and the Chipmunks: The Road Chip,5.8,Documentary
,Valkyrie,6.7,Adventure|Animation|Children|Drama|Musical|IMAX
,You Don't Mess with the Zohan,5.5,Drama
,Pixels,5.6,Drama|Horror|Mystery|Thriller
,A.I. Artificial Intelligence,6.8,Action|Comedy|Crime|Fantasy
,The Haunted Mansion,5.2,Adventure|Comedy|Western
,Contact,7.2,Drama
,Hollow Man,5.6,Action|Comedy
,The Interpreter,6.2,Comedy|Drama
,Percy Jackson: Sea of Monsters,5.9,Comedy|Drama|Romance
,Lara Croft Tomb Raider: The Cradle of Life,5.5,Thriller
,Now You See Me 2,6.7,Children|Comedy
,The Saint,5.9,Drama
,Spy Game,6.8,Action|Thriller
,Mission to Mars,5.7,Action|Romance|Thriller
,Rio,6.5,Comedy|Romance
,Bicentennial Man,6.9,Action|Sci-Fi|Thriller
,Volcano,5.2,Action|Adventure|Comedy|Romance|Thriller
,The Devil's Own,5.9,Drama|Romance
,K-19: The Widowmaker,6.1,Drama|Horror|Romance|Thriller
,Conan the Barbarian,6.6,Western
,Cinderella Man,7.3,Action|Crime|Drama
,The Nutcracker: The Untold Story,5.4,Drama
,Seabiscuit,6.7,Drama
,Twister,6.1,Action|Comedy
,Cast Away,7.5,Drama
,Happy Feet,5.9,Drama|Romance|War
,The Bourne Supremacy,7.2,Action|Crime|Drama
,Air Force One,6.2,Crime|Drama
,Ocean's Eleven,7.2,Adventure|Animation
,The Three Musketeers,5.6,Action|Adventure|Fantasy
,Hotel Transylvania,6.8,Comedy
,Enchanted,6.6,Drama|Fantasy|Romance
,Safe House,6.3,Drama
,102 Dalmatians,5.1,Horror
,Tower Heist,5.8,Documentary
,The Holiday,6.7,Drama
,Enemy of the State,6.7,Drama
,It's Complicated,6.2,Action|Thriller
,Ocean's Thirteen,6.5,Comedy
,Open Season,6.1,Comedy|Crime|Drama
,Divergent,6.9,Documentary
,Enemy at the Gates,7.2,Action|Fantasy
,The Rundown,6.4,Drama
,Last Action Hero,6.1,Horror|Thriller
,Memoirs of a Geisha,7.3,Drama
,The Fast and the Furious: Tokyo Drift,6.1,Crime|Drama
,Arthur Christmas,6.7,Children|Comedy|Fantasy
,Meet Joe Black,6.9,Comedy|Documentary
,Collateral Damage,5.5,Drama
,All That Jazz,7.3,Comedy
,Mirror Mirror,5.5,Comedy
,Scott Pilgrim vs. the World,7.2,Comedy|Thriller
,The Core,5.4,Western
,Nutty Professor II: The Klumps,4.7,Comedy|Romance
,Scooby-Doo,5.4,Drama
,Dredd,6.6,Comedy
,Click,6,Action|Comedy|Crime|Thriller
,Creepshow,6.7,Adventure|Children|Drama
,Cats & Dogs 2 : The Revenge of Kitty Galore,4.9,Thriller
,Jumper,5.9,Action|Thriller
,Hellboy II: The Golden Army,6.5,Drama
,Zodiac,7.3,Drama|Romance
,The 6th Day,5.7,Horror|Sci-Fi|Thriller
,Bruce Almighty,6.4,Drama|Mystery|Romance|Thriller
,The Expendables,6,Drama
,Mission: Impossible,6.7,Comedy
,The Hunger Games,6.9,Comedy|Drama
,The Hangover Part II,6.2,Crime|Drama
,Batman Returns,6.6,Adventure|Comedy|Western
,Over the Hedge,6.3,Comedy
,Lilo & Stitch,7.1,Action|Adventure|Thriller
,Charlotte's Web,5.8,Comedy|Sci-Fi
,Deep Impact,5.9,Drama|Thriller
,RED 2,6.4,Comedy
,The Longest Yard,6.2,Action|Comedy|Drama
,Alvin and the Chipmunks: Chipwrecked,5.4,Drama
